P = 1000;

W1 = 1.0;
W2 = 0.0;
W3 = 1.0;
W4 = 1.0;


omega = 1.0; 


NumN = 500;
NumK = 10;
NumQ = 30;

d_route_max = 250.0;
d_walk_max = 100.0;
m_max = 7; 

Capt = 8000;


C = {
  14, 27, 33, 42, 58, 61, 79, 85, 94, 102, 
  115, 128, 137, 149, 153, 166, 174, 188, 192, 205, 
  218, 221, 237, 246, 259, 263, 275, 284, 291, 308, 
  314, 326, 339, 342, 355, 368, 371, 384, 397, 412
};

I = {
    <173,1>,
    <489,1>,
    <494,1>,
    <100,1>,
    <450,1>,
    <157,1>,
    <42,1>,
    <262,1>,
    <132,1>,
    <269,1>,
    <134,1>,
    <2,1>,
    <20,1>,
    <67,1>,
    <294,1>,
    <88,1>,
    <225,1>,
    <113,1>,
    <327,1>,
    <345,1>,
    <125,1>,
    <268,1>,
    <366,1>,
    <338,1>,
    <313,1>,
    <70,1>,
    <60,1>,
    <96,1>,
    <453,1>,
    <264,1>,
    <355,1>,
    <126,1>,
    <326,1>,
    <299,1>,
    <245,1>,
    <337,1>,
    <463,1>,
    <329,1>,
    <487,1>,
    <66,1>,
    <201,1>,
    <404,1>,
    <444,1>,
    <312,1>,
    <79,1>,
    <81,1>,
    <443,1>,
    <317,1>,
    <274,1>,
    <239,1>,
    <155,1>,
    <232,1>,
    <347,1>,
    <396,1>,
    <280,1>,
    <416,1>,
    <166,1>,
    <429,1>,
    <286,1>,
    <14,1>,
    <373,1>,
    <340,1>,
    <368,1>,
    <94,1>,
    <353,1>,
    <235,1>,
    <147,1>,
    <486,1>,
    <118,1>,
    <375,1>,
    <351,1>,
    <378,1>,
    <92,1>,
    <295,1>,
    <414,1>,
    <365,1>,
    <244,1>,
    <208,1>,
    <383,1>,
    <105,1>,
    <449,1>,
    <17,1>,
    <251,1>,
    <480,1>,
    <165,1>,
    <407,1>,
    <106,1>,
    <199,1>,
    <50,1>,
    <186,1>,
    <190,1>,
    <428,1>,
    <459,1>,
    <27,1>,
    <93,1>,
    <28,1>,
    <298,1>,
    <397,1>,
    <151,1>,
    <377,1>,
    <455,1>,
    <405,1>,
    <117,1>,
    <58,1>,
    <78,1>,
    <252,1>,
    <85,1>,
    <184,1>,
    <11,1>,
    <422,1>,
    <213,1>,
    <183,1>,
    <139,1>,
    <481,1>,
    <163,1>,
    <241,1>,
    <3,1>,
    <128,1>,
    <499,1>,
    <51,1>,
    <415,1>,
    <188,1>,
    <328,1>,
    <62,1>,
    <272,1>,
    <56,1>,
    <364,1>,
    <457,1>,
    <305,1>,
    <1,1>,
    <234,1>,
    <233,1>,
    <289,1>,
    <227,1>,
    <217,1>,
    <490,1>,
    <124,1>,
    <9,1>,
    <425,1>,
    <462,1>,
    <381,2>,
    <370,2>,
    <420,2>,
    <254,2>,
    <279,2>,
    <160,2>,
    <98,2>,
    <196,2>,
    <46,2>,
    <195,2>,
    <122,2>,
    <344,2>,
    <131,2>,
    <142,2>,
    <348,2>,
    <318,2>,
    <379,2>,
    <308,2>,
    <491,2>,
    <29,2>,
    <39,2>,
    <171,2>,
    <421,2>,
    <207,2>,
    <358,2>,
    <32,2>,
    <288,2>,
    <137,2>,
    <164,2>,
    <74,2>,
    <220,2>,
    <439,2>,
    <150,2>,
    <447,2>,
    <185,2>,
    <437,2>,
    <442,2>,
    <390,2>,
    <175,2>,
    <84,2>,
    <460,2>,
    <374,2>,
    <47,2>,
    <415,2>,
    <205,2>,
